iter	MultiClass
0	1.045433312
1	1.000837889
2	0.9631177513
3	0.928596923
4	0.8985664185
5	0.8731158452
66	0.856201842577	0.837800079688	0.819777933299	0.8032063067110	0.7873020392111	0.7757576483112	0.763279967
13	0.7514859118
14	0.7404167825
15	0.7329753315
16	0.7208516645
17	0.7145409475
18	0.7057229356
19	0.7001422573
20	0.6931313731
21	0.6856650166
22	0.6800476242223	0.6720819182224	0.6653392525	25	0.6588306826	26	0.6540306727	27	0.6486377428	28	0.6428026429	29	0.6374254330	30	0.6337470131	0.6375008574
32	0.6338738452
3333	0.62173076134	0.6251659964
35	0.6218952368
36	0.618117696
37	0.6151656323
38	0.611603792
39	0.6085856459
40	0.6053717176
41	0.6032933661
42	0.6005456247
43	0.597705631
44	0.5935038384
45	0.5914882409
46	0.5891100946
47	0.585826016
48	0.5838857918
49	0.5822004273
50	0.578986463
51	0.5766944181
52	0.5738718544
53	0.5716463384
54	0.5693732962
55	0.5664746096
56	0.5640698478
57	0.5616083179
58	0.5594752792
59	0.5566637515
60	0.5539527371
61	0.5515062908
62	0.5493848118
63	0.5483490541
64	0.5468198217
65	0.544991356466	0.5397993542
67	0.5366432716
68	0.5346409048
69	0.5321519873
70	0.5303880148
71	0.5285479242
72	0.5265272855
73	0.5243591469
74	0.5224712105
75	0.5202301225
76	0.5179572391
77	0.5165358226778	0.5148942261779	0.5133459191880	0.5118178233881	0.510049697
82	0.5084414043883	0.5072210257884	0.5052619417885	0.504484737
86	0.5030597286
87	0.501867077
88	0.5000959152
89	0.4990909448
90	0.4968772749
91	0.4958973976
92	0.493978125
93	0.4929787997
94	0.4910022704
95	0.489483107
96	0.4879680386
97	0.4865395367
98	0.4847266232
99	0.4834064359
100	0.4820468009
101	0.4808576587
102	0.4793184423
103	0.4785637131
104	0.4766884808
105	0.4750409389
106	0.4734108068
107	0.4719784765
108	0.4698181924
109	0.4684414076
110	0.4676604951
11111	0.47571641112	0.4641811647
113	0.4631625576
11114	0.47159738115	0.4603288635
116	0.4592079987
11117	0.46823747118118	0.46718033119119	0.46483335120120	0.4635853812121	0.46254303122122	0.46075742123123	0.45922710124124	0.45871754125125	0.45758700126126	0.45607260127127	0.45491484128128	0.45391949129129	0.45325953130130	0.45217463131131	0.45079398132132	0.44971726133133	0.44814640134134	0.44703238135135	0.44621320136136	0.44491199137137	0.44369118138138	0.4426758513139	0.44210535140140	0.44091640141141	0.43991587142142	0.43824250143143	0.43668122144144	0.4350636214145	0.43371179714146	0.43270445914147	0.43149976014148	0.43045885014149	0.42917492915150	0.42774644
151	0.4265558605
152	0.4253648807
153	0.4243733435
154	0.4239016983
155	0.4224988008
156	0.4214370898
157	0.4206037932
158	0.4195559914
159	0.4181285051
160	0.4175961857
161	0.4168438794
162	0.4159189805
163	0.4152403026
164	0.4143353594
165	0.4136441123
166	0.4125537383
167	0.4115296441
168	0.4106079383
169	0.4093122151
170	0.408260964
171	0.4075695474
172	0.4069403461
173	0.4060074413
174	0.4049672821
175	0.4031822991
176	0.4024022686
177	0.4011342207
178	0.4003462886
179	0.3991475728
180	0.3982072167
181	0.3974260867
182	0.3962834609
183	0.3950573917
184	0.3941776835
185	0.3933490964
186	0.3925323859
187	0.3919321184
188	0.3910960813
189	0.3904812907
190	0.3895004329
191	0.3888085545
192	0.38826092
193	0.3876760992
194	0.3868117711
195	0.3859365183
196	0.3852377793
197	0.3847372905
198	0.3837494032
199	0.3831265571
200	0.3819740471
201	0.3813758917
202	0.3806879737
203	0.3798811241
204	0.3792826309
205	0.3788835129
206	0.3781879987
207	0.3773965767
208	0.3763152421
209	0.3748259871
210	0.3736223569
211	0.3720732968
212	0.3712850225
213	0.3705334737
214	0.3698769936
215	0.3693465709
216	0.3684107704
217	0.3676140471
218	0.366717672
219	0.3661896439
220	0.365166468
221	0.3643774735
222	0.3636802488
223	0.3626055501
224	0.3619771087
225	0.3612307059
226	0.3600384528
227	0.3584880703
228	0.3575004623
229	0.3570835347
230	0.3560631526
231	0.3556513632
232	0.3552514572
233	0.354756452
234	0.3542319994
235	0.3530554729
236	0.3525773629
237	0.3515976451
238	0.3510430513
239	0.3502192652
240	0.349519824
241	0.3489745196
242	0.3483592585
243	0.3471573388
244	0.3461490477
245	0.3454037755
246	0.3448208105
247	0.3440950972
248	0.3434523084
249	0.3427663078
250	0.341927141
251	0.3405546916
252	0.3398569007
253	0.3392602934
254	0.3387173182
255	0.3382567948
256	0.3372852004
257	0.3367758718
258	0.336368523
259	0.3354533699
260	0.3345102494
261	0.333957959
262	0.333447283
263	0.3330882727
264	0.3321559213
265	0.3313044476
266	0.3309164727
267	0.3304277243
268	0.329058653
269	0.3286385119
270	0.3281932222
271	0.3274209362
272	0.3268880252
273	0.3266061499
274	0.3259405174
275	0.3252055968
276	0.3248101452
277	0.3242172579
278	0.3234309415
279	0.3229949776
280	0.3224429709
281	0.321417939
282	0.3209515888
283	0.32063234
284	0.3197765464
285	0.3190707809
286	0.3186380537
287	0.3181323775
288	0.317325344
289	0.316519925
290	0.3155508119
291	0.3149428948
292	0.3140668235
293	0.3132964449
294	0.3127952041
295	0.3122575517
296	0.3118246463
297	0.3110909944
298	0.3105538645
299	0.3095398788
300	0.3089342805
301	0.3086729592
302	0.3082879927
303	0.307422396
304	0.3069328738
305	0.3064853586
306	0.3061834322
307	0.3054958471
308	0.3050555423
309	0.3046682504
310	0.3044272828
311	0.3037613047
312	0.3034471567
313	0.3031008161
314	0.3022010721
315	0.3014456271
316	0.3005227668
317	0.2995914286
318	0.2989968057
319	0.2985051334
320	0.2981208498
321	0.2975455702
322	0.2971082746
323	0.296525699
324	0.2961784294
325	0.2955579989
326	0.294864671
327	0.294547091
328	0.2939046536
329	0.2935769979
330	0.293168814
331	0.2925327755
332	0.292123268
333	0.291737009
334	0.2913207094
335	0.2909120611
336	0.2905484137
337	0.2900658829
338	0.2894271423
339	0.2889004686
340	0.2882580027
341	0.2877608124
342	0.287007714
343	0.2865181164
344	0.2858637233
345	0.2855013597
346	0.2850598249
347	0.2846855403
348	0.2840979815
349	0.2835839629
350	0.2832242107
351	0.2828430842
352	0.2824087324
353	0.2821122998
354	0.2813512867
355	0.281053349
356	0.2806525441
357	0.2802823104
358	0.2799421688
359	0.2796082297
360	0.2793607748
361	0.2787413629
362	0.2780015271
363	0.2778632605
364	0.2774251416
365	0.277048591
366	0.2767067728
367	0.2762242342
368	0.2751669388
369	0.2749310768
370	0.2744325444
371	0.2740855948
372	0.2737744936
373	0.2734536198
374	0.2732663911
375	0.2730334549
376	0.2727414444
377	0.2725363776
378	0.2718356125
379	0.2716481706
380	0.2712646965
381	0.2709174685
382	0.2705102439
383	0.2701686709
384	0.2697697537
385	0.2695569556
386	0.2691625324
387	0.2687276683
388	0.2685505423
389	0.2680373313
390	0.2677327611
391	0.2673115127
392	0.2667159818
393	0.2664736559
394	0.2660233523
395	0.2658455694
396	0.2655884198
397	0.265215065
398	0.2650227825
399	0.2646344666
400	0.264415274
401	0.2641538077
402	0.263662553
403	0.2631563498
404	0.2627446437
405	0.2621983639
406	0.2615777548
407	0.2613223313
408	0.2608883047
409	0.2606221135
410	0.2601217777
411	0.2599651995
412	0.2596023171
413	0.2592170554
414	0.2589341313
415	0.2586304489
416	0.2584218467
417	0.2582202027
418	0.2580053581
419	0.2576807297
420	0.2573048404
421	0.2569430445
422	0.2567323134
423	0.2562369354
424	0.255938352
425	0.2556561964
426	0.2550077479
427	0.2544094645
428	0.2540200521
429	0.2537462046
430	0.2534574819
431	0.2532590475
432	0.2527941296
433	0.2523868024
434	0.252140438
435	0.2517183458
436	0.2513403618
437	0.2511053573
438	0.2508224032
439	0.2503221716
440	0.2498400333
441	0.2495522233
442	0.2492523445
443	0.2486005247
444	0.2482056711
445	0.2476528313
446	0.2471549312
447	0.2467355772
448	0.2460842786
449	0.2458434997
450	0.2452604145
451	0.2449390096
