iter	Passed	Remaining
0	61	60996
1	64	32186
2	68	22683
3	71	17783
4	74	14897
5	78	12979
6	82	11661
7	85	10615
8	89	9831
9	92	9185
10	96	8660
11	99	8191
12	102	7807
13	105	7460
14	109	7167
15	112	6910
16	115	6707
17	119	6521
18	122	6300
19	125	6144
20	128	5986
21	132	5884
22	135	5748
23	138	5643
24	142	5559
25	146	5483
26	149	5395
27	152	5304
28	155	5218
29	158	5140
30	161	5058
31	165	5010
32	169	4953
33	172	4895
34	175	4846
35	179	4801
36	183	4767
37	186	4728
38	190	4690
39	193	4647
40	196	4592
41	199	4555
42	203	4524
43	206	4491
44	209	4455
45	213	4428
46	216	4399
47	221	4383
48	224	4353
49	227	4325
50	232	4320
51	236	4310
52	240	4288
53	243	4263
54	247	4246
55	250	4228
56	254	4213
57	258	4191
58	261	4173
59	264	4148
60	268	4128
61	271	4101
62	274	4089
63	277	4061
64	280	4041
65	284	4021
66	287	4001
67	291	3994
68	294	3979
69	298	3968
70	302	3956
71	305	3937
72	309	3932
73	313	3924
74	316	3903
75	320	3891
76	323	3883
77	327	3866
78	330	3849
79	333	3830
80	336	3818
81	340	3808
82	343	3800
83	347	3784
84	350	3777
85	354	3766
86	358	3757
87	360	3740
88	364	3730
89	367	3711
90	370	3699
91	374	3691
92	377	3680
93	380	3663
94	383	3657
95	387	3646
96	390	3635
97	393	3621
98	396	3607
99	399	3596
100	402	3584
101	406	3574
102	409	3564
103	412	3555
104	415	3541
105	418	3529
106	422	3522
107	424	3510
108	428	3501
109	432	3495
110	435	3485
111	438	3475
112	441	3468
113	445	3462
114	448	3452
115	451	3442
116	454	3433
117	458	3424
118	461	3415
119	465	3411
120	468	3403
121	472	3398
122	475	3392
123	479	3384
124	482	3377
125	485	3370
126	490	3368
127	493	3359
128	496	3352
129	499	3343
130	502	3335
131	505	3324
132	509	3318
133	512	3309
134	515	3303
135	518	3297
136	522	3288
137	525	3282
138	528	3275
139	531	3264
140	534	3259
141	539	3260
142	543	3254
143	546	3251
144	550	3246
145	553	3238
146	557	3233
147	560	3228
148	564	3221
149	567	3215
150	571	3212
151	574	3207
152	578	3203
153	582	3197
154	585	3190
155	588	3185
156	593	3184
157	596	3180
158	599	3172
159	603	3170
160	607	3164
161	610	3158
162	614	3153
163	618	3152
164	621	3145
165	625	3142
166	629	3140
167	633	3135
168	636	3127
169	640	3125
170	644	3124
171	648	3119
172	651	3112
173	654	3107
174	658	3102
175	661	3096
176	664	3091
177	668	3086
178	672	3085
179	675	3079
180	679	3073
181	682	3067
182	686	3065
183	690	3060
184	693	3053
185	697	3052
186	700	3045
187	703	3039
188	707	3035
189	711	3032
190	714	3027
191	717	3019
192	721	3016
193	725	3013
194	728	3007
195	731	3002
196	735	2999
197	738	2992
198	742	2988
199	745	2983
200	750	2982
201	753	2975
202	756	2969
203	759	2964
204	763	2960
205	766	2954
206	769	2949
207	773	2945
208	777	2941
209	781	2938
210	784	2934
211	789	2936
212	793	2931
213	796	2925
214	799	2919
215	802	2914
216	806	2911
217	810	2906
218	814	2904
219	817	2897
220	821	2894
221	824	2888
222	827	2884
223	830	2877
224	834	2873
225	837	2869
226	841	2866
227	845	2861
228	848	2856
229	851	2852
230	855	2849
231	859	2845
232	862	2839
233	865	2833
234	869	2829
235	871	2822
236	874	2815
237	878	2812
238	881	2807
239	884	2801
240	888	2797
241	891	2793
242	895	2790
243	899	2787
244	903	2783
245	905	2776
246	908	2770
247	911	2763
248	914	2757
249	917	2752
250	920	2748
251	924	2743
252	928	2740
253	931	2735
254	935	2732
255	938	2727
256	941	2722
257	945	2719
258	949	2715
259	952	2710
260	955	2705
261	959	2702
262	962	2696
263	965	2692
264	969	2688
265	973	2684
266	976	2680
267	979	2675
268	983	2673
269	987	2670
270	991	2665
271	995	2663
272	998	2659
273	1001	2654
274	1005	2651
275	1009	2647
276	1013	2645
277	1016	2639
278	1020	2636
279	1024	2633
280	1027	2628
281	1031	2625
282	1034	2621
283	1038	2617
284	1041	2613
285	1045	2609
286	1048	2603
287	1052	2602
288	1055	2597
289	1059	2594
290	1064	2592
291	1068	2590
292	1072	2586
293	1076	2584
294	1079	2578
295	1083	2576
296	1086	2571
297	1091	2571
298	1094	2566
299	1098	2563
300	1102	2559
301	1106	2558
302	1109	2553
303	1113	2548
304	1117	2545
305	1121	2544
306	1125	2540
307	1129	2536
308	1133	2535
309	1137	2531
310	1140	2526
311	1143	2522
312	1147	2517
313	1150	2513
314	1154	2509
315	1157	2506
316	1161	2503
317	1165	2499
318	1168	2495
319	1172	2491
320	1175	2486
321	1178	2481
322	1182	2477
323	1185	2474
324	1189	2469
325	1192	2465
326	1196	2462
327	1199	2457
328	1202	2452
329	1205	2447
330	1208	2443
331	1212	2440
332	1216	2435
333	1219	2431
334	1222	2426
335	1225	2422
336	1228	2416
337	1231	2412
338	1234	2407
339	1238	2404
340	1241	2400
341	1244	2395
342	1248	2391
343	1251	2387
344	1255	2384
345	1258	2379
346	1261	2374
347	1264	2369
348	1268	2365
349	1271	2360
350	1274	2356
351	1278	2353
352	1281	2349
353	1284	2344
354	1288	2341
355	1291	2335
356	1294	2332
357	1297	2327
358	1301	2323
359	1304	2318
360	1307	2314
361	1310	2309
362	1313	2304
363	1316	2299
364	1318	2294
365	1322	2290
366	1324	2285
367	1328	2281
368	1331	2277
369	1334	2272
370	1337	2268
371	1342	2265
372	1345	2261
373	1348	2256
374	1352	2253
375	1355	2249
376	1358	2245
377	1361	2240
378	1365	2237
379	1369	2234
380	1373	2231
381	1376	2226
382	1380	2223
383	1383	2219
384	1386	2215
385	1390	2212
386	1394	2209
387	1397	2204
388	1400	2200
389	1404	2197
390	1408	2193
391	1412	2190
392	1415	2186
393	1419	2183
394	1423	2180
395	1426	2175
396	1429	2171
397	1434	2169
398	1437	2165
399	1440	2161
400	1443	2156
401	1447	2152
402	1450	2148
403	1454	2146
404	1458	2142
405	1461	2138
406	1465	2135
407	1468	2131
408	1472	2128
409	1476	2125
410	1480	2121
411	1484	2118
412	1488	2115
413	1492	2112
414	1495	2108
415	1499	2105
416	1502	2100
417	1506	2096
418	1509	2093
419	1513	2089
420	1518	2087
421	1521	2084
422	1525	2080
423	1529	2078
424	1533	2074
425	1536	2070
426	1540	2067
427	1543	2063
428	1547	2059
429	1550	2055
430	1554	2052
431	1558	2048
432	1562	2045
433	1566	2043
434	1569	2039
435	1573	2035
436	1576	2031
437	1580	2028
438	1584	2024
439	1587	2020
440	1591	2016
441	1594	2013
442	1597	2009
443	1600	2004
444	1604	2000
445	1607	1996
446	1611	1993
447	1615	1990
448	1619	1987
449	1622	1983
450	1626	1979
451	1630	1976
452	1634	1973
453	1638	1969
454	1642	1967
455	1645	1963
456	1649	1959
457	1652	1955
458	1656	1951
459	1659	1948
460	1662	1944
461	1666	1940
462	1669	1936
463	1674	1933
464	1677	1929
465	1680	1925
466	1684	1922
467	1688	1919
468	1693	1917
469	1697	1914
470	1701	1910
471	1705	1907
472	1708	1903
473	1712	1900
474	1716	1896
475	1719	1893
476	1723	1890
477	1726	1885
478	1730	1882
479	1733	1878
480	1738	1876
481	1741	1871
482	1746	1869
483	1750	1865
484	1753	1861
485	1756	1857
486	1759	1853
487	1763	1850
488	1766	1845
489	1769	1841
490	1772	1837
491	1777	1834
492	1780	1831
493	1784	1827
494	1787	1824
495	1791	1820
496	1795	1817
497	1798	1813
498	1802	1809
499	1805	1805
500	1808	1801
501	1811	1796
502	1814	1792
503	1818	1789
504	1821	1785
505	1825	1781
506	1827	1777
507	1831	1773
508	1834	1769
509	1838	1766
510	1841	1762
511	1844	1758
512	1848	1754
513	1851	1750
514	1855	1746
515	1857	1742
516	1860	1738
517	1863	1734
518	1867	1730
519	1871	1727
520	1874	1723
521	1877	1719
522	1880	1715
523	1884	1711
524	1887	1707
525	1889	1703
526	1892	1698
527	1895	1694
528	1899	1690
529	1902	1686
530	1905	1682
531	1908	1679
532	1912	1675
533	1915	1671
534	1919	1667
535	1922	1664
536	1925	1660
537	1928	1656
538	1931	1652
539	1935	1648
540	1938	1644
541	1941	1640
542	1945	1637
543	1949	1634
544	1952	1630
545	1955	1626
546	1959	1622
547	1962	1618
548	1965	1614
549	1969	1611
550	1973	1607
551	1975	1603
552	1979	1599
553	1981	1595
554	1984	1591
555	1987	1587
556	1990	1583
557	1993	1579
558	1997	1575
559	2001	1572
560	2005	1569
561	2007	1564
562	2012	1562
563	2016	1558
564	2020	1555
565	2023	1551
566	2027	1548
567	2031	1544
568	2035	1541
569	2038	1537
570	2042	1534
571	2045	1530
572	2049	1527
573	2052	1523
574	2055	1519
575	2059	1515
576	2063	1512
577	2066	1508
578	2069	1505
579	2073	1501
580	2077	1498
581	2080	1494
582	2083	1490
583	2087	1486
584	2091	1483
585	2094	1479
586	2098	1476
587	2101	1472
588	2105	1469
589	2108	1465
590	2112	1461
591	2115	1458
592	2119	1454
593	2122	1451
594	2126	1447
595	2129	1443
596	2133	1439
597	2136	1436
598	2139	1432
599	2143	1429
600	2146	1425
601	2149	1421
602	2152	1417
603	2155	1413
604	2158	1409
605	2161	1405
606	2164	1401
607	2168	1398
608	2172	1394
609	2175	1390
610	2179	1387
611	2182	1383
612	2186	1380
613	2190	1376
614	2193	1373
615	2196	1369
616	2199	1365
617	2202	1361
618	2206	1357
619	2210	1354
620	2213	1350
621	2216	1347
622	2219	1343
623	2222	1339
624	2226	1335
625	2228	1331
626	2232	1327
627	2235	1324
628	2239	1320
629	2242	1316
630	2245	1313
631	2248	1309
632	2253	1306
633	2256	1302
634	2259	1298
635	2262	1295
636	2266	1291
637	2270	1288
638	2279	1287
639	2283	1284
640	2289	1282
641	2293	1279
642	2297	1275
643	2302	1272
644	2306	1269
645	2311	1266
646	2314	1263
647	2319	1259
648	2322	1255
649	2325	1252
650	2329	1248
651	2332	1244
652	2335	1241
653	2338	1237
654	2341	1233
655	2344	1229
656	2348	1225
657	2351	1222
658	2354	1218
659	2357	1214
660	2360	1210
661	2363	1206
662	2366	1202
663	2369	1198
664	2372	1195
665	2375	1191
666	2378	1187
667	2382	1183
668	2384	1179
669	2388	1176
670	2391	1172
671	2394	1168
672	2397	1164
673	2399	1160
674	2402	1156
675	2405	1152
676	2408	1149
677	2411	1145
678	2414	1141
679	2417	1137
680	2420	1133
681	2423	1129
682	2426	1126
683	2428	1122
684	2432	1118
685	2435	1114
686	2438	1110
687	2441	1107
688	2444	1103
689	2448	1100
690	2451	1096
691	2455	1092
692	2458	1089
693	2461	1085
694	2463	1081
695	2466	1077
696	2469	1073
697	2472	1069
698	2475	1066
699	2478	1062
700	2482	1058
701	2485	1055
702	2489	1051
703	2492	1048
704	2495	1044
705	2498	1040
706	2501	1036
707	2504	1033
708	2508	1029
709	2511	1026
710	2516	1022
711	2525	1021
712	2531	1018
713	2535	1015
714	2542	1013
715	2548	1010
716	2556	1009
717	2561	1006
718	2569	1004
719	2576	1001
720	2581	999
721	2587	996
722	2592	993
723	2596	989
724	2601	986
725	2606	983
726	2611	980
727	2618	978
728	2621	974
729	2625	970
730	2627	966
731	2630	962
732	2632	959
733	2635	954
734	2637	950
735	2639	946
736	2641	942
737	2643	938
738	2645	934
739	2647	930
740	2649	926
741	2651	921
742	2653	917
743	2655	913
744	2657	909
745	2659	905
746	2662	901
747	2664	897
748	2666	893
749	2668	889
750	2670	885
751	2672	881
752	2674	877
753	2676	873
754	2679	869
755	2681	865
756	2683	861
757	2685	857
758	2687	853
759	2689	849
760	2691	845
761	2693	841
762	2695	837
763	2697	833
764	2699	829
765	2701	825
766	2703	821
767	2705	817
768	2707	813
769	2709	809
770	2711	805
771	2713	801
772	2715	797
773	2717	793
774	2719	789
775	2721	785
776	2723	781
777	2725	777
778	2727	773
779	2729	769
780	2731	765
781	2733	762
782	2736	758
783	2738	754
784	2739	750
785	2742	746
786	2744	742
787	2746	738
788	2748	735
789	2750	731
790	2752	727
791	2754	723
792	2756	719
793	2758	715
794	2761	712
795	2763	708
796	2765	704
797	2767	700
798	2769	696
799	2771	692
800	2773	689
801	2775	685
802	2777	681
803	2779	677
804	2781	673
805	2783	670
806	2785	666
807	2788	662
808	2790	658
809	2792	654
810	2794	651
811	2796	647
812	2798	643
813	2801	640
814	2803	636
815	2805	632
816	2807	628
817	2809	625
818	2811	621
819	2814	617
820	2816	614
821	2818	610
822	2820	606
823	2822	602
824	2824	599
825	2826	595
826	2828	591
827	2830	588
828	2832	584
829	2835	580
830	2837	577
831	2839	573
832	2841	569
833	2843	566
834	2846	562
